쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
KT 모바일세상_개롱역점,기후동행쉼터,통신사 대리점,"서울 송파구 오금로 404 1층 KT대리점 (가락동, 원일빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.49759278,127.1351218
KT 더킹컴퍼니_강일리버파크점,기후동행쉼터,통신사 대리점,"서울 강동구 아리수로93길 9 106, 107호 (강일동, 골드프라자)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,,
KT 300텔레콤_상일역점,기후동행쉼터,통신사 대리점,"서울 강동구 고덕로 385 4상가 (고덕동, 고덕그라시움)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,,
KT L&C 컴퍼니_광장점,기후동행쉼터,통신사 대리점,"서울 광진구 아차산로 537-17 11호 (광장동, 광장힐스테이트)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.54296206,127.099659
KT (주)세븐업_신내점,기후동행쉼터,통신사 대리점,서울 중랑구 신내로 71 (신내동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.60554852,127.0951102
KT (주)세븐업 망우점,기후동행쉼터,통신사 대리점,"서울 중랑구 망우로 346 110호 (상봉동, 한일써너스빌)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.59745248,127.0913696
KT (주)세븐업 면목역점,기후동행쉼터,통신사 대리점,서울 중랑구 겸재로 180 안민병원 1층 (면목동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.58820081,127.0879513
KT (주)세븐업 우림시장점,기후동행쉼터,통신사 대리점,"서울 중랑구 망우로 410 1층 (망우동, 삼부빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.59896701,127.0975957
KT 디액션(구리) 동부시장점,기후동행쉼터,통신사 대리점,서울 중랑구 망우로 212 (상봉동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.59372837,127.0762006
KT 디액션(구리) 사가정6호점,기후동행쉼터,통신사 대리점,서울 중랑구 면목로 306 1층 KT (면목동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.57943288,127.0877206
KT (주)단결_사가정역점,기후동행쉼터,통신사 대리점,서울 중랑구 면목로 337 1층 KT매장 (면목동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.58206247,127.0885135
KT (주)애니킹_석계역점,기후동행쉼터,통신사 대리점,서울 노원구 화랑로 353 푸른치과의원건물 1층 (월계동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.61547653,127.0670355
KT (주)피앤월드 미아사거리점,기후동행쉼터,통신사 대리점,서울 강북구 숭인로 75 1층 KT (미아동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.61243094,127.0298998
KT (주)피앤월드 쌍문1호점,기후동행쉼터,통신사 대리점,"서울 도봉구 해등로 190 제116 117호 (쌍문동, 신원프라자)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.65821667,127.0357594
KT (주)피앤월드 노원역점,기후동행쉼터,통신사 대리점,"서울 노원구 노해로 495 1층 KT (상계동, 삼성빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.65511881,127.0630892
KT (주)피앤월드 쌍문역점,기후동행쉼터,통신사 대리점,서울 도봉구 도봉로 476 쉐르빌퍼스티 1층 104호 KT (창동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.64787675,127.0347625
KT (주)피앤월드 중화역점,기후동행쉼터,통신사 대리점,서울 중랑구 동일로 795 1층 KT대리점 (중화동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.60139431,127.0791446
KT (주)피앤월드 수유역점,기후동행쉼터,통신사 대리점,"서울 강북구 도봉로 334 1층 (번동, 영광빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.63754905,127.0255424
KT (주)피앤월드 쌍문2호점,기후동행쉼터,통신사 대리점,서울 도봉구 해등로 198 1층 KT (쌍문동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.65835477,127.0349108
KT (주)피앤월드 노원2호점,기후동행쉼터,통신사 대리점,서울 노원구 상계로 69 1층 KT (상계동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.65645575,127.0626393
