쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
말죽거리 경로당,한파쉼터,노인시설,서울특별시 서초구 바우뫼로41길 72-9 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,141,20,Y,"['한파', '눈']",실내,,,,37.48383635,127.0404943
서초구립 송동마을 경로당,한파쉼터,노인시설,서울특별시 서초구 송동길 27,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,151,20,Y,"['한파', '눈']",실내,,,,37.46016755,127.0171002
서초구립 새원마을 경로당,한파쉼터,노인시설,서울특별시 서초구 새원3길 8,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,134,20,Y,"['한파', '눈']",실내,,,,37.45386539,127.0499296
양재2동 주민센터,한파쉼터,주민센터,서울특별시 서초구 강남대로12길 44,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,104,31,Y,"['한파', '눈']",실내,,,,37.47064502,127.0412829
잔디마을 경로당,한파쉼터,노인시설,서울특별시 서초구 매헌로6길 58,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,82,30,Y,"['한파', '눈']",실내,,,,37.46624367,127.0354769
동산마을경로당,한파쉼터,노인시설,서울특별시 서초구 동산로12길 8,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,30,Y,"['한파', '눈']",실내,,,,37.47136085,127.0450508
서초구립 샘마을 경로당,한파쉼터,노인시설,서울특별시 서초구 샘마을길 8,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,134,10,Y,"['한파', '눈']",실내,,,,37.45816043,127.0714881
서초구립 염곡경로당,한파쉼터,노인시설,서울특별시 서초구 염곡말길 9,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,165,20,Y,"['한파', '눈']",실내,,,,37.46182406,127.050699
서초구립 홍씨마을 경로당,한파쉼터,노인시설,서울특별시 서초구 홍씨마을길 25,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,165,20,Y,"['한파', '눈']",실내,,,,37.4531969,127.0654755
내곡동 주민센터,한파쉼터,주민센터,서울특별시 서초구 청계산로15길 77,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,119,30,Y,"['한파', '눈']",실내,,,,37.44926525,127.0582288
본마을 경로당,한파쉼터,노인시설,서울특별시 서초구 본마을2길 2,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,160,30,Y,"['한파', '눈']",실내,,,,37.45443195,127.0534153
내곡느티나무쉼터,한파쉼터,노인시설,서울특별시 서초구 염곡말길 9,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,164.84,20,Y,"['한파', '눈']",실내,,,,37.46182406,127.050699
능안마을 경로당,한파쉼터,노인시설,서울특별시 서초구 능안말2길 13,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,144.28,10,Y,"['한파', '눈']",실내,,,,37.45457348,127.0662581
청룡마을 경로당,한파쉼터,노인시설,서울특별시 서초구 청룡마을4길 15,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,106.14,10,Y,"['한파', '눈']",실내,,,,37.44731814,127.0579065
신사동주민센터,한파쉼터,주민센터,서울특별시 강남구 압구정로 128,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,157,40,Y,"['한파', '눈']",실내,,,,37.52397448,127.0227964
논현노인종합복지관,한파쉼터,복지회관,서울특별시 강남구 강남대로128길 59,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,"1,631.00",20,Y,"['한파', '눈']",실내,,,,37.51206542,127.026089
논현1동주민센터,한파쉼터,주민센터,서울특별시 강남구 학동로20길 25,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,65,20,Y,"['한파', '눈']",실내,,,,37.5115038,127.0285345
논현2동주민센터,한파쉼터,주민센터,서울특별시 강남구 학동로43길 17,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,832,50,Y,"['한파', '눈']",실내,,,,37.51728313,127.0372042
압구정노인복지관,한파쉼터,복지회관,서울특별시 강남구 도산대로53길 5,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,68.32,21,Y,"['한파', '눈']",실내,,,,37.52353254,127.038169
로데오현대경로당,한파쉼터,노인시설,서울특별시 강남구 압구정로50길 28,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,331,100,Y,"['한파', '눈']",실내,,,,37.52664785,127.0373033
압구정동 주민센터,한파쉼터,주민센터,서울특별시 강남구 압구정로 201,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,203,20,Y,"['한파', '눈']",실내,,,,37.53153417,127.0292731
압구정1동 경로당,한파쉼터,노인시설,서울특별시 강남구 언주로157길 8,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,98,30,Y,"['한파', '눈']",실내,,,,37.52396228,127.0322639
정다운도서관,한파쉼터,문화시설,서울특별시 강남구 학동로67길 11,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,33,10,Y,"['한파', '눈']",실내,,,,37.51909871,127.0464409
청담동주민센터,한파쉼터,주민센터,서울특별시 강남구 압구정로79길 26,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,50,15,Y,"['한파', '눈']",실내,,,,37.52509211,127.0492911
삼성1동주민센터,한파쉼터,주민센터,서울특별시 강남구 봉은사로 616,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,33,10,Y,"['한파', '눈']",실내,,,,37.5143323,127.062501
한파 응급 대피소 ,한파쉼터,기타,서울특별시 강남구 학동로 426,평일: 09:00:00 ~ 18:00:00,"일요일, 공휴일",2025-01-31,2025-03-15,,20,20,Y,"['한파', '눈']",실내,,,,37.51796816,127.0470598
강남구보건소,한파쉼터,보건소,서울특별시 강남구 선릉로 668,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,128,20,Y,"['한파', '눈']",실내,,,,37.51631743,127.0423035
봉전경로당,한파쉼터,노인시설,서울특별시 강남구 봉은사로68길 39-3 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,110,33,Y,"['한파', '눈']",실내,,,,37.50986214,127.0519007
삼성2동주민센터,한파쉼터,주민센터,서울특별시 강남구 봉은사로 419,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,786,40,Y,"['한파', '눈']",실내,,,,37.51120727,127.0459769
대치1동주민센터,한파쉼터,주민센터,서울특별시 강남구 남부순환로391길 19,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,388,118,Y,"['한파', '눈']",실내,,,,37.49324481,127.056775
대치경로당,한파쉼터,노인시설,서울특별시 강남구 역삼로90길 18,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,92,28,Y,"['한파', '눈']",실내,,,,37.50283007,127.061992
대치2동주민센터,한파쉼터,주민센터,서울특별시 강남구 영동대로65길 24,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,72,22,Y,"['한파', '눈']",실내,,,,37.50230433,127.0641877
대치4동주민센터,한파쉼터,주민센터,서울특별시 강남구 도곡로77길 23,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,301,30,Y,"['한파', '눈']",실내,,,,37.49972974,127.0578495
강남시니어플라자,한파쉼터,복지회관,서울특별시 강남구 봉은사로 332,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,33,10,Y,"['한파', '눈']",실내,,,,37.50978716,127.0432183
상방교경로당,한파쉼터,노인시설,서울특별시 강남구 봉은사로24길 70,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,179,54,Y,"['한파', '눈']",실내,,,,37.50238865,127.0318772
하방교경로당,한파쉼터,노인시설,서울특별시 강남구 역삼로11길 9-7 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,321,50,Y,"['한파', '눈']",실내,,,,37.49529229,127.0345707
역삼1동주민센터,한파쉼터,주민센터,서울특별시 강남구 역삼로7길 16,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,531,40,Y,"['한파', '눈']",실내,,,,37.49537321,127.0332838
테헤란아이파크실버클럽,한파쉼터,노인시설,서울특별시 강남구 테헤란로52길 16,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,141,43,Y,"['한파', '눈']",실내,,,,37.50250061,127.046384
역삼시니어하우스,한파쉼터,노인시설,서울특별시 강남구 언주로79길 30-3 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,212.22,64,Y,"['한파', '눈']",실내,,,,37.49898762,127.0414501
역삼2동경로당,한파쉼터,노인시설,서울특별시 강남구 도곡로27길 27,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,90,27,Y,"['한파', '눈']",실내,,,,37.49453769,127.0418317
역삼2동주민센터,한파쉼터,주민센터,서울특별시 강남구 도곡로43길 25,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,123,37,Y,"['한파', '눈']",실내,,,,37.49597383,127.046815
도곡1동주민센터,한파쉼터,주민센터,서울특별시 강남구 도곡로18길 57,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,648,50,Y,"['한파', '눈']",실내,,,,37.4883103,127.0388804
개포4차우성경로당,한파쉼터,노인시설,서울특별시 강남구 언주로 117,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,34,100,Y,"['한파', '눈']",실내,,,,37.48646618,127.0503961
삼성래미안경로당,한파쉼터,노인시설,서울특별시 강남구 언주로 202,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,115,35,Y,"['한파', '눈']",실내,,,,37.48961131,127.0514991
도곡2동주민센터,한파쉼터,주민센터,서울특별시 강남구 남부순환로378길 34-9 ,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,463,40,Y,"['한파', '눈']",실내,,,,37.48372308,127.046407
